PERÍODO;EMPRESA;LOCALIDAD;PROVINCIA;INSUMO;CUPO TOTAL ASIGNADO ;PRODUCCIÓN ;VENTAS TOTALES ;PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA (antes AXION ENERGY ARGENTINA S.A.);PETROBRAS ARGENTINA S.A.;FOX PETROL S.A.;REFINERÍA DEL NORTE S.A.;SHELL ARGENTINA C.A.P.S.A.;YPF S.A.;ENERGÍA Y DERIVADOS DEL PETRÓLEO S.A.;OIL COMBUSTIBLES S.A.;TRAFIGURA ARGENTINA S.A.;REFI PAMPA S.A.;;
sep-12;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;600 ;806 ;686 ;0 ;0 ;0 ;0 ;0 ;686 ;0 ;0 ;0 ;0 ;;
sep-12;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;670 ;1.355 ;655 ;0 ;0 ;0 ;0 ;0 ;655 ;0 ;0 ;0 ;0 ;;
sep-12;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;1.000 ;2.677 ;1.082 ;492 ;590 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
sep-12;BIOETANOL RÍO CUARTO S.A.;RÍO CUARTO;CÓRDOBA;MAÍZ;0 ;3.373 ;1.937 ;0 ;0 ;0 ;0 ;699 ;1.238 ;0 ;0 ;0 ;0 ;;
sep-12;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.083 ;3.453 ;3.709 ;544 ;0 ;0 ;0 ;690 ;2.114 ;66 ;295 ;0 ;0 ;;
sep-12;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;1.517 ;4.284 ;1.523 ;0 ;0 ;0 ;0 ;0 ;1.523 ;0 ;0 ;0 ;0 ;;
sep-12;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;4.000 ;3.950 ;3.841 ;0 ;444 ;0 ;538 ;0 ;2.639 ;0 ;221 ;0 ;0 ;;
sep-12;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.090 ;2.267 ;2.110 ;1.339 ;0 ;0 ;0 ;512 ;0 ;0 ;259 ;0 ;0 ;;
sep-12;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;1.000 ;2.614 ;986 ;0 ;0 ;0 ;0 ;512 ;474 ;0 ;0 ;0 ;0 ;;
oct-12;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;4.250 ;7.742 ;4.297 ;301 ;0 ;0 ;0 ;2.111 ;1.885 ;0 ;0 ;0 ;0 ;;
oct-12;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;600 ;962 ;599 ;0 ;0 ;0 ;0 ;0 ;599 ;0 ;0 ;0 ;0 ;;
oct-12;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;670 ;1.844 ;695 ;0 ;0 ;0 ;0 ;0 ;695 ;0 ;0 ;0 ;0 ;;
oct-12;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;1.200 ;2.723 ;1.293 ;522 ;771 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
oct-12;BIOETANOL RÍO CUARTO S.A.;RÍO CUARTO;CÓRDOBA;MAÍZ;7.500 ;5.526 ;5.515 ;0 ;0 ;0 ;0 ;1.920 ;3.595 ;0 ;0 ;0 ;0 ;;
oct-12;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;5.083 ;4.125 ;4.376 ;622 ;0 ;0 ;0 ;691 ;2.181 ;66 ;816 ;0 ;0 ;;
oct-12;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;3.017 ;2.246 ;1.586 ;0 ;0 ;0 ;0 ;0 ;1.586 ;0 ;0 ;0 ;0 ;;
oct-12;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;4.000 ;4.015 ;3.478 ;0 ;0 ;0 ;624 ;0 ;2.521 ;0 ;334 ;0 ;0 ;;
